g17107.t1_TE-like	s7298.t1	36.190	315	183	6	1	304	1	308	2.29e-58	199	538	410	57
g17107.t1_TE-like	s10743.t1	47.692	195	98	4	1	193	1	193	4.93e-45	158	538	228	36
g17107.t1_TE-like	s1740.t1	38.554	249	139	8	1	242	1	242	1.42e-41	149	538	242	45
g17107.t1_TE-like	s8239.t1	34.615	208	117	6	317	518	163	357	8.94e-24	105	538	1271	38
g17107.t1_TE-like	s10149.t1	34.615	208	117	6	317	518	186	380	1.03e-23	105	538	1294	38
g17107.t1_TE-like	s10902.t1	50.476	105	52	0	1	105	1	105	1.30e-23	95.5	538	115	20
g18444.t1_insect-like	s146.t1	34.694	49	27	2	122	168	67	112	0.058	33.5	181	526	26
g18444.t1_insect-like	s146.t2	34.694	49	27	2	122	168	19	64	0.061	33.1	181	478	26
g18444.t1_insect-like	s6039.t1	27.083	96	55	3	73	168	325	405	1.2	29.3	181	551	53
g18444.t1_insect-like	s3391.t1	40.000	30	18	0	80	109	381	410	2.9	28.1	181	616	17
g18444.t1_insect-like	s4839.t1	34.211	38	24	1	106	143	237	273	3.9	27.7	181	277	21
g18444.t1_insect-like	s11676.t1	36.842	38	19	1	114	151	248	280	5.7	27.3	181	1121	21
g18444.t1_insect-like	s2143.t1	37.500	32	19	1	117	147	772	803	6.2	27.3	181	1265	17
g18444.t1_insect-like	s2143.t2	37.500	32	19	1	117	147	776	807	6.3	27.3	181	1269	17
g18444.t1_insect-like	s7084.t3	39.535	43	24	1	119	159	507	549	6.5	27.3	181	1034	23
g18444.t1_insect-like	s7084.t2	39.535	43	24	1	119	159	507	549	6.5	27.3	181	1040	23
