Chromosome	TPM	Gene	Species	Sex	Tissue	Stage	Sample	log2_TPM	Z_score	p_value	p_adj	Expression_Status_BH	Expression_Status	Type
SUPER_GRC2	2.605556	g18509	B_coprophila	female	germ_embryo	0-4h	FE1	1.38159181597378	5.46241644396597	2.34848315239233e-08	3.12294499756679e-08	Active	Expressed	Gene
SUPER_GRC2	4.278342	g19121	B_coprophila	female	germ_embryo	0-4h	FE1	2.09705214976858	6.66710216922675	1.30451205393456e-11	1.91019874674678e-11	Active	Expressed	Gene
SUPER_GRC1	44.216843	g6396	B_coprophila	female	germ_embryo	0-4h	FE1	5.46652415061507	12.3405890550138	0	0	Active	Expressed	Gene
SUPER_GRC1	1.580165	g7958	B_coprophila	female	germ_embryo	0-4h	FE1	0.660076124729595	4.24753476187006	1.08067818760382e-05	1.32844341668701e-05	Active	Expressed	Gene
SUPER_GRC2	1.269031	g13059	B_coprophila	female	germ_embryo	0-4h	FE2	0.343728448737126	3.71487136812719	0.00010165354412261	0.00012138319544128	Active	Expressed	Gene
SUPER_GRC2	9.801362	g13065	B_coprophila	female	germ_embryo	0-4h	FE2	3.29298238765732	8.68079883127745	0	0	Active	Expressed	Gene
SUPER_GRC2	15.032756	g14637	B_coprophila	female	germ_embryo	0-4h	FE2	3.91003771794528	9.71979108980172	0	0	Active	Expressed	Gene
SUPER_GRC2	0.820144	g17249	B_coprophila	female	germ_embryo	0-4h	FE2	-0.286049097001052	2.65445755676118	0.0039718016033865	0.00450665106095132	Active	Expressed	Gene
SUPER_GRC2	1.520528	g18444	B_coprophila	female	germ_embryo	0-4h	FE2	0.604573332157733	4.15407965504564	1.63299698714425e-05	1.99683945265127e-05	Active	Expressed	Gene
SUPER_GRC2	1.753909	g18509	B_coprophila	female	germ_embryo	0-4h	FE2	0.810574719341946	4.50094295242575	3.38263315158294e-06	4.21997848522021e-06	Active	Expressed	Gene
SUPER_GRC2	2.670246	g19121	B_coprophila	female	germ_embryo	0-4h	FE2	1.41697319853959	5.52199130018609	1.67589544464164e-08	2.23810147945774e-08	Active	Expressed	Gene
SUPER_GRC1	40.779209	g6396	B_coprophila	female	germ_embryo	0-4h	FE2	5.34976192173471	12.1439858560136	0	0	Active	Expressed	Gene
SUPER_GRC1	1.03018	g7958	B_coprophila	female	germ_embryo	0-4h	FE2	0.0428978372738674	3.208335469164	0.0006675283634524	0.00077691976751211	Active	Expressed	Gene
SUPER_GRC2	0.939463	g13059	B_coprophila	female	germ_embryo	0-4h	FE3	-0.0900902158567897	2.98441137209075	0.00142062249338448	0.00163625209665228	Active	Expressed	Gene
SUPER_GRC2	10.878592	g13065	B_coprophila	female	germ_embryo	0-4h	FE3	3.4434200703005	8.93410445880304	0	0	Active	Expressed	Gene
SUPER_GRC2	14.166362	g14637	B_coprophila	female	germ_embryo	0-4h	FE3	3.82439751049258	9.57559087274785	0	0	Active	Expressed	Gene
SUPER_GRC2	12.068318	g17249	B_coprophila	female	germ_embryo	0-4h	FE3	3.59315283152236	9.18622314593013	0	0	Active	Expressed	Gene
SUPER_GRC2	1.283887	g18444	B_coprophila	female	germ_embryo	0-4h	FE3	0.360519354413353	3.74314374526243	9.08660977128051e-05	0.00010866352095355	Active	Expressed	Gene
SUPER_GRC2	2.116236	g18509	B_coprophila	female	germ_embryo	0-4h	FE3	1.08150120570242	4.95712655240592	3.57716894439086e-07	4.59295836554427e-07	Active	Expressed	Gene
SUPER_GRC2	2.131383	g19121	B_coprophila	female	germ_embryo	0-4h	FE3	1.09179053914951	4.97445164024189	3.27162979152362e-07	4.20564766771059e-07	Active	Expressed	Gene
SUPER_GRC1	37.618317	g6396	B_coprophila	female	germ_embryo	0-4h	FE3	5.23336343903535	11.9479951295869	0	0	Active	Expressed	Gene
SUPER_GRC1	1.216924	g7958	B_coprophila	female	germ_embryo	0-4h	FE3	0.283240256414593	3.6130218896924	0.00015132457148625	0.00017973156183814	Active	Expressed	Gene
SUPER_GRC2	6.530334	g14257	B_coprophila	female	germ	late-larva-early-pupa	Fgerm1	2.70715700255915	7.69439127576709	7.105427357601e-15	1.14906660996932e-14	Active	Expressed	Gene
SUPER_GRC2	11.210896	g14637	B_coprophila	female	germ	late-larva-early-pupa	Fgerm1	3.48682980975497	9.00719739070705	0	0	Active	Expressed	Gene
SUPER_GRC2	4.780529	g17249	B_coprophila	female	germ	late-larva-early-pupa	Fgerm1	2.25717057343287	6.93670814209252	2.00672811700997e-12	3.00977518751453e-12	Active	Expressed	Gene
